market,mean_funding
 Social Travel ,556666.67
 Software ,11828472.72
 Software Compliance ,0
 Solar ,242539509.2
 Space Travel ,37500000
 Spas ,0
 Specialty Chemicals ,70000000
 Specialty Foods ,1162500
 Specialty Retail ,3366666.67
 Speech Recognition ,6700000
 Sponsorship ,1328333.33
 Sporting Goods ,654500
 Sports ,4557414.64
 Staffing Firms ,45000
 Startups ,4181112.54
 Stock Exchanges ,722000
 Storage ,39734987.72
 Subscription Businesses ,6383154.4
 Sunglasses ,800000
 Supply Chain Management ,18503515.14
 Surveys ,5364044
 Sustainability ,23311359.38
 Synchronization ,3675000
 Synthetic Biology ,0
 Systems ,6514500
 TV Production ,50000000
 Tablets ,2140833.33
 Task Management ,5986666.67
 Taxis ,118000
 Tea ,182000
 Teachers ,877500
 Tech Field Support ,17958000
 Technical Continuing Education ,870000
 Technology ,50479235.92
 Telecommunications ,36565209.69
 Telephony ,35265626
 Television ,13582561.44
 Test and Measurement ,13267753.5
 Testing ,51470523.14
 Text Analytics ,793333.33
 Textbooks ,2141875
 Textiles ,239000
 Therapeutics ,54673773.85
 Ticketing ,1258636.36
 Timeshares ,5000000
 Tourism ,46666.67
 Toys ,9555929
 Tracking ,10563723.47
 Trading ,350927839.6
 Training ,3614214.36
 Translation ,11692696.67
 Transportation ,32282500.5
 Travel ,19598591.49
 Travel & Tourism ,7000000
 Trusted Networks ,110000
 Tutoring ,6308333.33
 Twin-Tip Skis ,750000
 Twitter Applications ,9377240.81
 Unifed Communications ,15515193.29
 Universities ,175000
 User Experience Design ,930209.12
 Utilities ,36206206.5
 Vacation Rentals ,748333.33
 Venture Capital ,6565884.62
 Vertical Search ,700000
 Video ,16845851.26
 Video Chat ,372000
 Video Conferencing ,1500000
 Video Games ,16757475.78
 Video Streaming ,27164282.82
 Video on Demand ,14158098
 Virtual Currency ,358333.33
 Virtual Goods ,6000000
 Virtual Workforces ,10833333.33
 Virtual Worlds ,2100000
 Virtualization ,25239408.89
 Visual Search ,16913100
 Visualization ,3314181
 VoIP ,12525532.38
 Water ,637879.8
 Water Purification ,16663804
 Wealth Management ,66750000
 Web Browsers ,5606250
 Web CMS ,49122500.38
 Web Design ,1613636.36
